candle_begin_time,open,high,low,close,signal,pos,b_bar_quote_volume,kline_pct,r_line_equity_curve
2024-12-03 12:00:00,0.0203657,0.0203829,0.0201739,0.0203059,,0.0,32715572.1932238,[-0.00294121],4.435364775528462
2024-12-03 13:00:00,0.0203059,0.0203685,0.019111,0.019293,,0.0,160313106.1009266,[-0.04988205],4.435364775528462
2024-12-03 14:00:00,0.0192929,0.0197686,0.0188356,0.0196619,,0.0,197158117.3320627,[0.01912092],4.435364775528462
2024-12-03 15:00:00,0.0196643,0.0199946,0.0194746,0.0196583,,0.0,95546604.0520293,[-0.0001831],4.435364775528462
2024-12-03 16:00:00,0.0196596,0.0199461,0.019446,0.0195037,,0.0,72814573.2714316,[-0.00786436],4.435364775528462
2024-12-03 17:00:00,0.0195028,0.0197697,0.0193589,0.0197607,,0.0,45608072.5420862,[0.01317699],4.435364775528462
2024-12-03 18:00:00,0.0197613,0.0198313,0.0196905,0.0197296,,0.0,26207518.843622,[-0.00157383],4.435364775528462
2024-12-03 19:00:00,0.0197297,0.0197886,0.0194931,0.0197611,,0.0,32563030.2511528,[0.00159659],4.435364775528462
2024-12-03 20:00:00,0.019761,0.0199765,0.0197354,0.0199411,,0.0,33453333.7010991,[0.0091088],4.435364775528462
2024-12-03 21:00:00,0.0199406,0.020592,0.0199384,0.0205034,,0.0,89055414.0248503,[0.02819804],4.435364775528462
2024-12-03 22:00:00,0.0205067,0.0206757,0.0202037,0.0205895,,0.0,71484505.8876166,[0.0041993],4.435364775528462
2024-12-03 23:00:00,0.0205894,0.0207073,0.0202627,0.0202737,,0.0,56267426.7151748,[-0.01533791],4.435364775528462
2024-12-04 00:00:00,0.0202741,0.02101,0.0202676,0.020732,,0.0,103825058.8701381,[0.02260564],4.435364775528462
2024-12-04 01:00:00,0.0207344,0.02105,0.020716,0.020873,,0.0,73983263.4110555,[0.00680108],4.435364775528462
2024-12-04 02:00:00,0.0208729,0.0209041,0.0203648,0.0205369,,0.0,60049294.3773536,[-0.01610214],4.435364775528462
2024-12-04 03:00:00,0.0205369,0.0206274,0.020425,0.0204429,,0.0,24379648.3905187,[-0.00457713],4.435364775528462
2024-12-04 04:00:00,0.0204428,0.0205661,0.020427,0.0205204,,0.0,26818325.3313341,[0.00379105],4.435364775528462
2024-12-04 05:00:00,0.0205204,0.0207209,0.0204824,0.0207128,,0.0,26695534.6334981,[0.00937604],4.435364775528462
2024-12-04 06:00:00,0.0207129,0.0208453,0.0205613,0.020815,,0.0,34631507.3513674,[0.00493415],4.435364775528462
2024-12-04 07:00:00,0.020815,0.021027,0.0207851,0.02101,,0.0,41075881.6052929,[0.00936824],4.435364775528462
2024-12-04 08:00:00,0.02101,0.0210796,0.0208025,0.0209127,,0.0,38334445.0175228,[-0.00463113],4.435364775528462
2024-12-04 09:00:00,0.0209127,0.0212879,0.0208307,0.0208871,,0.0,79958604.2417812,[-0.00122414],4.435364775528462
2024-12-04 10:00:00,0.0208871,0.0210257,0.0206448,0.0207559,,0.0,48835083.9198314,[-0.00628139],4.435364775528462
2024-12-04 11:00:00,0.0207558,0.0210528,0.0207501,0.0209245,,0.0,55583369.4242585,[0.00812299],4.435364775528462
2024-12-04 12:00:00,0.0209244,0.0211473,0.02044,0.0211423,,0.0,89152180.6693458,[0.01040885],4.435364775528462
2024-12-04 13:00:00,0.0211423,0.0212889,0.020608,0.0207711,,0.0,87992337.2299178,[-0.01755722],4.435364775528462
2024-12-04 14:00:00,0.0207735,0.0210788,0.0205,0.0209878,,0.0,95661383.8843482,[0.01043276],4.435364775528462
2024-12-04 15:00:00,0.0209873,0.0221189,0.02078,0.021546,,0.0,273590953.7975068,[0.0265964],4.435364775528462
2024-12-04 16:00:00,0.021546,0.0216666,0.0202252,0.0203066,,0.0,228574873.7455036,[-0.05752344],4.435364775528462
2024-12-04 17:00:00,0.0203086,0.0207322,0.0202,0.0207103,,0.0,107626903.0770206,[0.01988024],4.435364775528462
2024-12-04 18:00:00,0.0207104,0.0218894,0.0206882,0.0212867,,0.0,250916770.7040638,[0.02783156],4.435364775528462
2024-12-04 19:00:00,0.0212867,0.0215167,0.021215,0.0213914,,0.0,62954142.4627537,[0.00491856],4.435364775528462
2024-12-04 20:00:00,0.0213919,0.021607,0.0207128,0.0211038,,0.0,98368597.94143501,[-0.01344466],4.435364775528462
2024-12-04 21:00:00,0.0211027,0.0217432,0.021003,0.0213106,,0.0,94965190.064459,[0.00979918],4.435364775528462
2024-12-04 22:00:00,0.0213104,0.0215135,0.0210174,0.0211727,,0.0,52393407.2026308,[-0.00647096],4.435364775528462
2024-12-04 23:00:00,0.0211727,0.0218277,0.0211478,0.0218187,,0.0,85502826.8942509,[0.03051099],4.435364775528462
2024-12-05 00:00:00,0.0218196,0.0218414,0.0209088,0.020951,,0.0,103810153.6232539,[-0.03976864],4.435364775528462
2024-12-05 01:00:00,0.0209508,0.0209566,0.0203104,0.0205753,,0.0,132995653.0902635,[-0.01793232],4.435364775528462
2024-12-05 02:00:00,0.0205754,0.0215856,0.0205369,0.0212418,,0.0,104373469.265869,[0.03239321],4.435364775528462
2024-12-05 03:00:00,0.0212425,0.0217922,0.021126,0.0212076,,0.0,162456936.6292292,[-0.00161003],4.435364775528462
2024-12-05 04:00:00,0.0212084,0.022319,0.0211555,0.0222741,,0.0,161949816.5742636,[0.05028858],4.435364775528462
2024-12-05 05:00:00,0.0222764,0.0229375,0.0218436,0.0220136,,0.0,247433459.6585118,[-0.0116952],4.435364775528462
2024-12-05 06:00:00,0.0220136,0.0220965,0.02125,0.0213946,,0.0,113161153.0489991,[-0.02811898],4.435364775528462
2024-12-05 07:00:00,0.0213936,0.0217704,0.021392,0.0215557,,0.0,66422698.9498842,[0.00752994],4.435364775528462
2024-12-05 08:00:00,0.0215558,0.0218431,0.0214874,0.021553,,0.0,62363492.8661337,[-0.00012526],4.435364775528462
2024-12-05 09:00:00,0.0215531,0.0217372,0.0213896,0.021734,,0.0,41347613.3282988,[0.0083979],4.435364775528462
2024-12-05 10:00:00,0.0217341,0.0219307,0.0215632,0.0217014,,0.0,46516809.1360307,[-0.00149995],4.435364775528462
2024-12-05 11:00:00,0.0217014,0.021988,0.0216095,0.0219769,,0.0,58527620.1120501,[0.01269503],4.435364775528462
2024-12-05 12:00:00,0.0219769,0.022383,0.0218719,0.0221388,,0.0,126317903.4773986,[0.00736683],4.435364775528462
2024-12-05 13:00:00,0.0221373,0.0222472,0.02186,0.0220069,,0.0,82107468.21048039,[-0.00595787],4.435364775528462
2024-12-05 14:00:00,0.0220074,0.0224258,0.0220048,0.0222685,,0.0,99601770.614518,[0.01188718],4.435364775528462
